Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types
ELEC,Price Chopper Plaza,1395 New Scotland Rd,,Slingerlands,NY,12159,,518-478-0688,E,,Public,24 hours daily,,,2,,,Non-Networked,,GPS,42.638663,-73.857186,3/14/24,72970,2/12/25 0:16,P,,,1/25/16,J1772
ELEC,Elm Ave,1 Research Circle,,Niskayuna,NY,12309,,888-998-2546,E,,Public,24 hours daily,,,11,,,Blink Network,https://blinkcharging.com,GPS,42.825583,-73.879337,4/17/25,148044,4/17/25 0:11,,,,11/1/18,J1772
ELEC,ATRIUM EVCHARGE PARKPLAZA EV2,56 Clifton Country Rd,Front Row Parking Area,Clifton park,NY,12065,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.85645,-73.783066,4/17/25,154276,4/17/25 1:21,,,,3/4/20,J1772
ELEC,2 Bedford Park Blvd W,2 Bedford Park Blvd W,,Bronx,NY,10468,,888-356-8911,E,,Public,24 hours daily,,,4,,,FLO,https://www.flo.com,GPS,40.875421,-73.893941,4/17/25,200599,4/17/25 3:43,,,,11/5/21,J1772
ELEC,North Coast Subaru,105 Glen Street,,Glen Cove,NY,11542,,888-998-2546,E,,Public,24 hours daily,,,1,,,Blink Network,https://blinkcharging.com,GPS,40.864143,-73.626372,4/17/25,218222,4/17/25 0:04,,,,5/17/22,J1772
ELEC,TOY BINGHAMTON CT4020- 1,393 Court St,In front of sales building,Binghamton,NY,13904,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.104684,-75.885437,4/17/25,221912,4/17/25 1:52,,,,6/23/22,J1772
ELEC,35 Red Cross Pl,35 Red Cross Pl,,Brooklyn,NY,11201,,888-356-8911,E,,Public,24 hours daily,,,6,,,FLO,https://www.flo.com,GPS,40.699487,-73.989516,4/17/25,226846,4/17/25 3:42,,,,9/1/22,J1772
ELEC,Auto Outlets of Canandaigua,5763 Duke of Gloucester Way,,Farmington,NY,14445,,,E,,Public,24 hours daily,,,8,,,SWTCH,https://swtchenergy.com,200-8,42.94959,-77.33577,3/14/24,251742,2/12/25 0:16,P,,,8/24/22,J1772
ELEC,Circuit Chargers (Rockaway Hotel),108-03 Beach Channel Dr,,Far Rockaway,NY,11694,,,E,,Public,24 hours daily,,,8,,,Non-Networked,,200-8,40.5815,-73.8388,1/9/24,323400,1/31/24 22:07,P,,,10/1/23,J1772
ELEC,10 Reade St,10 Reade St,,New York,NY,10007,,888-356-8911,E,,Public,24 hours daily,,,2,,,FLO,https://www.flo.com,GPS,40.713898,-74.00434,4/17/25,326605,4/17/25 3:44,,,,1/25/24,J1772
ELEC,Sap Bush Hollow Farm Store & Cafe,832 W. Fulton Rd,,Fulton,NY,12194,,1-833-611-5965,E,,Public,24 hours daily,,,4,,,VIALYNK,https://www.lynkwell.com,GPS,42.56359,-74.45986,4/17/25,346731,4/17/25 4:13,,,,5/23/24,J1772
ELEC,Fayetteville Pines,550 Warren St,,Fayetteville,NY,13066,,1-833-611-5965,E,,Public,24 hours daily,,,10,,,VIALYNK,https://www.lynkwell.com,GPS,43.02392,-76.01023,4/17/25,350667,4/17/25 4:13,,,,7/17/24,J1772
