Station_Name,Open_Date,Open_Year,BOROUGH,Latitude,Longitude,EV Level2 EVSE Num,EV DC Fast Count,Groups With Access Code
2 Bedford Park Blvd W,2021-11-05,2021,BRONX,40.875421,-73.893941,4,NA,Public
35 Red Cross Pl,2022-09-01,2022,BROOKLYN,40.699487,-73.989516,6,NA,Public
10 Reade St,2024-01-25,2024,MANHATTAN,40.713898,-74.00434,2,NA,Public
STATION 4TH FL MOTORGATE #1,2020-12-03,2020,MANHATTAN,40.764429,-73.946793,2,NA,Public
Walgreens,2018-03-07,2018,BROOKLYN,40.656459,-73.977527,NA,1,Public
The Somerset - Garage 1st Floor,2022-11-20,2022,MANHATTAN,40.767348,-73.953832,20,NA,Public
NYC FLEET DPR_ICAHN_1_L3,2020-12-12,2020,MANHATTAN,40.792194,-73.92455,NA,1,Public
Icon Parking 101 West End Ave - Tesla Destination,2016-01-21,2016,MANHATTAN,40.775065,-73.988572,3,NA,Public
BRI - Bay Ridge Municipal Parking Garage,2015-06-01,2015,BROOKLYN,40.621698,-74.02567,5,NA,Public
266 13th St,2022-07-07,2022,BROOKLYN,40.667017,-73.988698,2,NA,Public
Rapidpark 351 East 83rd - Tesla Destination,2018-05-24,2018,MANHATTAN,40.775123,-73.951193,3,NA,Public
Rapid Park - 204 W 101st 1st Floor,2024-05-02,2024,MANHATTAN,40.79743,-73.9687,4,NA,Public
203 E 71st St.,2022-05-17,2022,MANHATTAN,40.76894,-73.96047,4,NA,Public
NE Bronx YMCA - Parking Lot,2021-12-13,2021,BRONX,40.883,-73.8421,4,NA,Public
One Gracie Terrace - Basement Level 1,2022-12-06,2022,MANHATTAN,40.77245,-73.945767,10,NA,Public
CENTERS HEALTHC EV-4,2024-02-14,2024,BROOKLYN,40.673237,-73.925718,2,NA,Public
GGMC Parking 51-53 E 76th St Carlyle Hotel - Tesla Destination,2015-09-25,2015,MANHATTAN,40.774207,-73.96282,2,NA,Public
92746 CHARGEPOINT 1,2022-08-18,2022,MANHATTAN,40.764935,-73.96063,2,NA,Public
Icon Parking 330 W 58th Street - Tesla Destination,2016-01-21,2016,MANHATTAN,40.767879,-73.983656,3,NA,Public
"The Standard, High Line - Tesla Destination",2017-01-24,2017,MANHATTAN,40.740939,-74.00824,3,NA,Public
EVolve NY JFK Airport,2021-09-02,2021,QUEENS,40.65608,-73.808090000000007,NA,10,Public
101 E 78th St,2021-08-21,2021,MANHATTAN,40.774878,-73.960671,2,NA,Public
Icon 376 Greenwich Street - Tesla Destination,2017-07-17,2017,MANHATTAN,40.719825,-74.010137,3,NA,Public
Standard Parking 20 W 13th Street - Tesla Destination,2017-01-27,2017,MANHATTAN,40.735706,-73.995058,3,NA,Public
Standard Parking 800 6th Ave - Tesla Destination,2017-07-17,2017,MANHATTAN,40.745842,-73.990103,3,NA,Public
Rapid Park - 44 State St,2021-10-28,2021,BROOKLYN,40.6918,-73.99829,6,NA,Public
CORP COMM 3 STATION 5 CC3,2023-01-26,2023,STATEN ISLAND,40.604322,-74.179683,2,NA,Public
HAMPTON INN STATION 4,2021-01-27,2021,STATEN ISLAND,40.612678,-74.178885,2,NA,Public
3474 Putnam Place,2021-06-25,2021,BRONX,40.879413,-73.875485,2,NA,Public
iPark NYC 2234 North 6th - Tesla Destination,2015-09-18,2015,BROOKLYN,40.71949,-73.963312,3,NA,Public
87-15 204th St - Garage,2024-06-10,2024,QUEENS,40.722752,-73.76245,31,NA,Public
449 East 49th Street,2022-02-08,2022,MANHATTAN,40.75267,-73.96482,6,NA,Public
iPark NYC 75 Wall Street - Tesla Destination,2015-06-24,2015,MANHATTAN,40.704776,-74.008276,3,NA,Public
PANYNJ JFK Y GARAGE 1,2021-01-27,2021,QUEENS,40.645659,-73.779481,2,NA,Public
Icon Parking - Claridge 87 Parking,2022-07-24,2022,MANHATTAN,40.779687,-73.952595,1,NA,Public
"Brooklyn, NY - 625 Atlantic Avenue - Tesla Destination",2024-07-01,2024,BROOKLYN,40.68484,-73.97566,10,NA,Public
597 Clarkson Ave,2021-10-16,2021,BROOKLYN,40.656102,-73.940436,4,NA,Public
iPark 3 E 67th Street - Tesla Destination,2017-03-10,2017,MANHATTAN,40.769061,-73.96876,3,NA,Public
Rapidpark 124 W 20th Street - Tesla Destination,2017-06-16,2017,MANHATTAN,40.741554,-73.995403,3,NA,Public
Icon Parking E 72nd Street - Tesla Destination,2016-04-30,2016,MANHATTAN,40.766554,-73.952905,5,NA,Public
Rapidpark 25-27 Beekman Street - Tesla Destination,2017-06-13,2017,MANHATTAN,40.710786,-74.006017,3,NA,Public
Icon Parking 5 E 22nd Street - Tesla Destination,2016-04-30,2016,MANHATTAN,40.740458,-73.989037,3,NA,Public
201 Brighton 1st Rd - Garage,2023-01-01,2023,BROOKLYN,40.575202,-73.966603,8,NA,Public
435 E. 55th St.,2022-02-07,2022,MANHATTAN,40.75657,-73.96226,4,NA,Public
Quik Park Armory Parking Inc. - Tesla Destination,2017-01-27,2017,BROOKLYN,40.692635,-73.969935,2,NA,Public
Parkit 200 West End Ave - Tesla Destination,2015-07-08,2015,MANHATTAN,40.778221,-73.985072,5,NA,Public
IMPark 302 2nd St - Tesla Destination,2019-03-31,2019,BROOKLYN,40.674312,-73.98488,4,NA,Public
Paragon Honda,2024-04-24,2024,QUEENS,40.753588,-73.903613000000007,NA,2,Public
Enterprise 284 Mott St - Underground garage,2023-02-07,2023,MANHATTAN,40.724324,-73.994201,4,NA,Public
Icon Parking 14-26 William Street - Tesla Destination,2016-04-30,2016,MANHATTAN,40.704514,-74.01074,3,NA,Public
Icon Parking 1350 Avenue of the Americas - Tesla Destination,2015-08-07,2015,MANHATTAN,40.762855,-73.977795,3,NA,Public
20RTAC STATION EE52,2023-05-18,2023,MANHATTAN,40.716133,-74.01556,2,NA,Public
