BOROUGH,Year,Geo Place Name,Name,Measure,Measure Info,Data_Value,Pollutant_Change,Pollutant_Rate_Change,Stations,Total_Level2,Total_DCFC,Public_Pct,Avg_Level2_Per_Station,Avg_DCFC_Per_Station,EV_Growth_Rate,EV_Station_Density,Chargers_Per_Station,Level2_to_DCFC_Ratio,Time_Since_EV_Adoption
MANHATTAN,2014,Upper East Side-Gramercy,Ozone (O3),Mean,ppb,24.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BRONX,2014,Fordham - Bronx Pk,Ozone (O3),Mean,ppb,30.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,East New York,Ozone (O3),Mean,ppb,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,Chelsea-Village,Ozone (O3),Mean,ppb,25.3,0.40000000000000213,0.016064257028112535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Flushing - Clearview,Ozone (O3),Mean,ppb,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Southeast Queens,Fine particles (PM 2.5),Mean,mcg/m3,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MANHATTAN,2014,Gramercy Park - Murray Hill,Fine particles (PM 2.5),Mean,mcg/m3,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,Williamsburg - Bushwick,Fine particles (PM 2.5),Mean,mcg/m3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,Williamsburg - Bushwick,Fine particles (PM 2.5),Mean,mcg/m3,10.9,0.9000000000000004,0.09000000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,Bushwick (CD4),Fine particles (PM 2.5),Mean,mcg/m3,9.4,-1.5,-0.13761467889908258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Southeast Queens,Nitrogen dioxide (NO2),Mean,ppb,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Jamaica and Hollis (CD12),Nitrogen dioxide (NO2),Mean,ppb,13.6,-9.1,-0.4008810572687225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
QUEENS,2014,Flushing - Clearview,Nitrogen dioxide (NO2),Mean,ppb,24,10.4,0.7647058823529412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,Bedford Stuyvesant - Crown Heights,Nitrogen dioxide (NO2),Mean,ppb,26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BROOKLYN,2014,Williamsburg - Bushwick,Nitrogen dioxide (NO2),Mean,ppb,17,-9.399999999999999,-0.356060606060606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
