"BOROUGH","Year","Geo.Place.Name","Name","Measure","Measure.Info","Data_Value","Pollutant_Change","Pollutant_Rate_Change","Stations","Total_Level2","Total_DCFC","Public_Pct","Avg_Level2_Per_Station","Avg_DCFC_Per_Station","EV_Growth_Rate","EV_Station_Density","Chargers_Per_Station","Level2_to_DCFC_Ratio","Time_Since_EV_Adoption"
"STATEN ISLAND",2014,"St. George and Stapleton (CD1)","Nitrogen dioxide (NO2)","Mean","ppb",22.5,NA,NA,1,1,0,0,1,NA,NA,0.0172413793103448,1,NA,0
"STATEN ISLAND",2014,"Staten Island","Nitrogen dioxide (NO2)","Mean","ppb",19.8,-2.7,-0.12,1,1,0,0,1,NA,NA,0.0172413793103448,1,NA,0
"STATEN ISLAND",2014,"Staten Island","Fine particles (PM 2.5)","Mean","mcg/m3",8.4,NA,NA,1,1,0,0,1,NA,NA,0.0172413793103448,1,NA,0
"STATEN ISLAND",2014,"Staten Island","Nitrogen dioxide (NO2)","Mean","ppb",9.3,-10.5,-0.53030303030303,1,1,0,0,1,NA,NA,0.0172413793103448,1,NA,0
"STATEN ISLAND",2014,"St. George and Stapleton (CD1)","Nitrogen dioxide (NO2)","Mean","ppb",12.5,3.2,0.344086021505376,1,1,0,0,1,NA,NA,0.0172413793103448,1,NA,0
"STATEN ISLAND",2014,"St. George and Stapleton (CD1)","Fine particles (PM 2.5)","Mean","mcg/m3",8.7,0.299999999999999,0.0357142857142856,1,1,0,0,1,NA,NA,0.0172413793103448,1,NA,0
"STATEN ISLAND",2014,"St. George and Stapleton (CD1)","Fine particles (PM 2.5)","Mean","mcg/m3",8.2,-0.5,-0.0574712643678161,1,1,0,0,1,NA,NA,0.0172413793103448,1,NA,0
"STATEN ISLAND",2014,"St. George and Stapleton (CD1)","Ozone (O3)","Mean","ppb",30.3,NA,NA,1,1,0,0,1,NA,NA,0.0172413793103448,1,NA,0
"STATEN ISLAND",2014,"South Beach - Tottenville","Nitrogen dioxide (NO2)","Mean","ppb",18.3,5.8,0.464,1,1,0,0,1,NA,NA,0.0172413793103448,1,NA,0
"STATEN ISLAND",2014,"Stapleton - St. George","Fine particles (PM 2.5)","Mean","mcg/m3",7.9,-0.299999999999999,-0.0365853658536584,1,1,0,0,1,NA,NA,0.0172413793103448,1,NA,0
